,"04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20","05/14/20","05/15/20","05/16/20","05/17/20"
"63101",8,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,11
"63102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5
"63103",47,48,49,49,49,50,54,54,55,55,55,55,55,58,58,59,60,60,61,61,61,61,62,62,62,62,79
"63104",46,49,53,56,56,56,57,57,58,58,58,61,61,64,66,67,72,72,73,73,73,74,75,75,79,79,78
"63106",48,49,50,52,52,53,53,54,57,57,59,59,59,63,63,64,69,69,73,73,76,76,76,76,78,85,82
"63107",46,47,48,49,49,50,51,54,56,56,55,59,59,63,63,63,66,66,70,70,73,73,75,76,77,77,76
"63108",51,52,53,58,58,65,68,70,72,72,73,77,77,113,114,117,120,120,123,123,125,125,126,128,129,131,148
"63109",33,36,36,38,38,40,40,41,43,43,43,43,43,47,48,49,54,54,54,54,57,57,60,60,60,63,64
"63110",30,30,31,31,31,31,31,31,31,31,32,32,32,37,38,38,40,40,42,42,43,44,45,45,45,48,48
"63111",27,28,29,31,31,33,32,34,39,39,42,42,42,46,49,50,53,53,59,59,61,65,66,68,68,72,70
"63112",69,71,72,74,74,75,75,74,76,76,77,79,79,84,87,90,93,93,96,96,96,97,98,99,100,100,96
"63113",74,80,84,104,104,107,111,117,129,129,131,132,132,141,144,146,149,149,152,152,156,156,157,159,162,166,167
"63115",96,97,100,102,102,105,110,111,115,115,115,116,116,125,125,125,127,127,135,135,136,137,137,138,140,143,138
"63116",66,67,74,79,79,94,99,101,108,108,110,116,116,146,148,149,156,156,164,164,168,171,178,180,194,201,205
"63118",47,48,51,52,52,57,58,61,63,63,63,64,64,75,78,78,82,82,89,89,92,95,96,98,101,101,99
"63120",25,25,25,25,25,26,26,27,27,27,27,27,27,33,33,33,33,33,35,35,35,35,35,35,35,37,35
"63123",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7
"63136",11,11,11,12,12,13,13,13,13,13,13,14,14,16,16,16,17,17,18,18,18,19,19,19,19,19,19
"63137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
"63139",38,39,39,39,39,40,41,41,41,41,43,43,43,48,50,53,56,56,69,70,71,71,71,73,73,73,72
"63147",53,53,54,55,55,58,59,59,62,62,63,63,63,81,82,84,87,87,92,92,92,95,95,98,98,98,105
